혈액원,헌혈의집,구분,주소지,Latitude,Longitude,전화번호
경기,동탄센터,국고,경기 화성시 동탄반석로 204 동탄제일프라자 205호,37.2066523,127.0728157,031-8003-5585
경기,삼성디지털시티센터,자체,경기 수원시 영통구 삼성로 129(센트럴파크 지하1층),37.2558477,127.0511335,031-217-9353
경기,동탄2센터,국고,"경기 화성시 동탄역로 124, 윤정프라자 401호",37.1975789,127.0965779,031-373-9013
인천,연수센터,원내,인천 연수구 연수동 함박뫼로 220,37.4197754,126.6898484,032-810-1383
인천,주안센터,국고,"인천 미추홀구 석바위로 68, 주안필프라자 201호",37.4608089,126.6806202,032-428-5195
인천,부평센터,국고,"인천 부평구 광장로 16, 부평민자역사 1층",37.4896761,126.722687,032-504-0975
인천,부천센터,국고,"경기 부천시 원미구 부천로 4, 경동빌딩 301호",37.4843917,126.7835513,032-651-1618
인천,상동센터,국고,"경기 부천시 원미구 상동로 87, 가나베스트타운 205호",37.5052092,126.7524136,032-328-3052
인천,구월센터,국고,"인천 남동구 인하로 497-9, 신현프라자 201호",37.4439798,126.7015918,032-421-9013
인천,광명센터,자체,경기 광명시 철산로 20 야우리빌딩 3층 302호,37.4757939,126.8683717,02-2060-5473
인천,김포구래센터,국고,"경기 김포시 김포한강9로 76번길63 아스타프라자 305호, 306호",37.6453837,126.6268732,031-986-3557
인천,송도센터,국고,"인천 연수구 송도과학로16번길 33-4 송도 트리플스트리트 D동 501호, 503호",37.3786464,126.6627468,032-310-9663
인천,작전센터,자체,"인천 계양구 계양대로53, 휘림빌딩 3층",37.5285768,126.7220553,032-556-9818
인천,시흥센터,국고,"경기 시흥시 복지로 3, 유암빌딩 201호",37.4403129,126.7868803,031-404-7671
인천,청라센터,자체,인천광역시 서구 청라커낼로 277,37.5332005,126.6418771,032-569-1652
강원,봄내센터,원내,강원 춘천시 퇴계공단1길 8,37.8457829,127.7359645,033-269-1043
강원,원주센터,자체,"강원 원주시 원일로 139, 생활문화센터 지하1층",37.3515821,127.9467619,033-745-6551
강원,강원대센터,국고대학,"강원 춘천시 강원대학길 1, 천지관 1층",37.8689546,127.7450121,033-253-5551
강원,춘천명동센터,국고,"강원 춘천시 시청길 10번길 4-2, 성림빌딩 3층",37.880258,127.7285242,033-252-3085
강원,상지대센터,국고대학,"강원 원주시 상지대길 80, 상지대학교 내 창조관 3층",37.3705041,127.9342405,033-748-4012
강원,강릉센터,자체,강원 강릉시 하슬라로 145 1층,37.7629275,128.873778,033-647-3460
강원,원주터미널센터,국고,"강원 원주시 서원대로 162, 2층 202호",37.3440302,127.9295566,033-734-7787
충북,가로수길센터,원내,충북 청주시 흥덕구 가로수로 1000,36.6227759,127.4087957,043-230-8763
충북,성안길센터,국고,충북 청주시 상당구 북문로1가 165-2 현우빌딩 3층,36.6356744,127.4885042,043-258-1649
충북,충북대센터,국고대학,"충북 청주시 서원구 충대로1, 개신문화관 지하 1층",36.6284028,127.4592136,043-265-2655
충북,충주센터,국고,충북 충주시 성서7길 22-2,36.9713595,127.9317587,043-842-6262
충북,청주터미널센터,국고,충북 청주시 흥덕구 강서로122 4층,36.6248605,127.430066,043-224-4143
대전세종충남,송촌센터,원내,대전 대덕구 송촌남로 22,36.3539383,127.4420575,042-623-2166
대전세종충남,천안센터,국고,"충남 천안시 동남구 만남로 52, 문타워 6층",36.8186047,127.1577791,041-561-2166
대전세종충남,공주대학교센터,국고대학,"충남 공주시 공주대학로 56, 종합도서관 옆",36.4689627,127.1408071,041-858-2166
대전세종충남,충남대학교센터,국고대학,"대전 유성구 대학로 99, 한누리회관 1층",36.367484,127.3426063,042-823-7166
대전세종충남,으능정이센터,국고,대전 중구 중앙로 164번길 이안경원 2층,36.3290264,127.4276548,042-252-2166
대전세종충남,둔산센터,국고,"대전 서구 대덕대로 199, 우남빌딩 5층",36.3510466,127.3777809,042-486-2166
대전세종충남,대전복합터미널센터,국고,대전 동구 동서대로 1688 빅플러스타워 6층,36.348614,127.4374483,042-631-2166
대전세종충남,세종센터,자체,세종시 한누리대로265 명동프라자 4층,36.487784,127.2566555,044-865-2166
대전세종충남,노은역센터,국고,"대전 유성구 은구비남로 33번길 36, 홍인빌딩 4층",36.373884,127.3195199,042-826-2166
대전세종충남,천안시청센터,국고,충남 천안시 서북구 불당23로 70 정우프라자 2층,36.8176325,127.1088053,041-523-2166
대전세종충남,아산센터,국고,충남 아산시 번영로 215 우전빌딩 4층,36.7846583,127.014554,041-534-2166
전북,장동센터,원내,전북 전주시 덕진구 혁신로 463,35.8542171,127.0653139,063-270-5836
전북,고사동센터,국고,"전북 전주시 완산구 전주객사5길 46, 2층",35.8202374,127.1452996,063-285-2114
전북,익산센터,국고,"전북 익산시 무왕로 884-1, 2층",35.9638939,126.956864,063-856-2110
전북,전북대한옥센터,자체대학,"전북 전주시 덕진구 백제대로 567, 한옥건물",35.842759,127.138761,063-275-9907
전북,군산센터,국고,"전북 군산시 월명로 233, 효원월드타워 2층",35.9648388,126.7150947,063-466-0609
전북,송천센터,자체,"전북 전주시 덕진구 천마산로44, 3층",35.8637554,127.1261629,063-273-2115
전북,효자센터,국고,"전북 전주시 완산구 용머리로 57, 4층 402호",35.8068923,127.1163465,063-229-2116
광주전남,빛고을센터,원내,광주 남구 서문대로 406,35.1054251,126.8840259,062-600-0600
광주전남,터미널센터,국고,광주 서구 무진대로 904 종합버스터미널 2층,35.1603087,126.8801307,062-363-9495
광주전남,목포센터,국고,"전남 목포시 백년대로 352, 4층 401호",34.8058875,126.4255609,061-245-8980
광주전남,순천센터,국고,전남 순천시 중앙로 120,34.9562319,127.4843453,061-753-2239
광주전남,첨단센터,국고,광주 광산구 첨단중앙로 96 LC타워 2층(201호),35.2138257,126.8434701,062-944-9494
광주전남,충장로센터,국고,광주 동구 중앙로 172,35.1489724,126.9142949,062-232-9494
광주전남,여수센터,자체,"전남 여수시 망마로 11, 4층",34.7608662,127.6647098,061-663-2413
광주전남,전대용봉센터,국고,광주 북구 우치로 100번길 9-4,35.1766301,126.9130851,062-529-9494
광주전남,광주송정역센터,국고,"광주 광산구 상무대로 205번길 6, 4층",35.1380706,126.7914257,062-228-9494
대구경북,태평로센터,원내,대구 중구 태평로 7,35.8785534,128.5790043,053-605-5642
대구경북,포항센터,국고,"경북 포항시 북구 상원동 462-5, 5층",36.0374238,129.365035,054-244-8891
대구경북,안동센터,자체,"경북 안동시 광명로168, 신성타워 3층",36.5624491,128.7017466,054-858-3780
대구경북,신월성센터,자체,"대구 달서구 조암로 5, 604호 ~ 605호",35.821599,128.5207763,053-253-2280
대구경북,대구대센터,국고대학,"경북 경산시 진량읍 대구대로201, 대구대학교 경산캠퍼스 내 제1학생회관 옆",35.9021687,128.849098,053-851-3124
대구경북,동성로센터,국고,"대구 중구 국채보상로 598, 3층",35.8705414,128.5959763,053-252-2285
대구경북,중앙로센터,국고,"대구 중구 중앙대로 390, 센트롤엠 201호",35.8677661,128.5939056,053-252-2315
대구경북,경북대북문센터,자체,"대구 북구 대학로 83, 4층",35.8926471,128.6093967,053-421-6235
대구경북,구미센터,국고,"경북 구미시 문화로 25-1, 3층",36.128888,128.3342827,054-458-9790
대구경북,계명대센터,국고,"대구 달서구 달구벌대로 1095, 계명대학교 산학협력관 2층",35.8547807,128.4916205,053-582-2285
대구경북,신매광장센터,자체,"대구 수성구 신매동 567-13, A동 2층",35.8402494,128.7068522,053-795-9767
대구경북,동성로광장센터,국고,대구 중구 동성로 23-2 3층,35.8691049,128.5949774,053-254-2901
경남,용지로센터,원내,경남 창원시 성산구 용지로 226,35.2334604,128.6860008,055-270-6035
경남,진주센터,국고,"경남 진주시 진양호로 526, 8층",35.1923905,128.082996,055-745-2611
경남,김해센터,국고,"경남 김해시 내외중앙로 59, 2층 202호",35.2354468,128.8664932,055-333-2612
경남,경남대앞센터,자체,"경남 창원시 마산합포구 해안대로 2, 댓츠빌딩 8층",35.1802192,128.5592081,055-245-5161
경남,창원센터,국고,"경남 창원시 성산구 원이대로 595, 고운메디칼빌딩 5층",35.2237921,128.6859545,055-286-5161
경남,경상대센터,자체대학,"경남 진주시 진주대로501, 경상대학교 학생회관 복지동 103호",35.153651,128.0972894,055-756-5161
제주,도남센터,원내,제주 제주시 오남로 45,33.4911288,126.5200703,064-720-7844
제주,신제주센터,국고,"제주 제주시 신광로 39, 2층",33.4885813,126.4903231,064-758-8101
제주,한라센터,국고,"제주 제주시 중앙로 222, 3층",33.4997922,126.5294858,064-757-8101
제주,서귀포센터,자체,"제주 서귀포시 중앙로 101번길 11, 2층",33.2534916,126.5596326,064-763-8101
울산,함월센터,원내,울산 중구 함월10길 25,35.5731268,129.3086201,052-210-8553
울산,성남동센터,국고,"울산 중구 젊음의거리 30-5, 다남빌딩 2층",35.5533353,129.3185111,052-243-8799
울산,울산대센터,자체대학,"울산 남구 대학로 93, 종합서비스센터 105호",35.5414897,129.2569952,052-224-3969
울산,울산과학대센터,자체대학,"울산 동구 봉수로 101, 제3대학관 2층",35.4955081,129.4155946,052-236-3459
울산,양산센터,국고,"경남 양산시 양산역2길 7, 대상골드타워 3층",35.3355759,129.0279529,055-366-5201
울산,경주센터,자체,"경북 경주시 원효로 122, 1층",35.8418288,129.2141813,054-777-7521
울산,공업탑센터,국고,"울산 남구 삼산로 17, 4층",35.5332903,129.3097091,052-260-7918
울산,울산삼산동센터,국고,"울산 남구 삼산로 275, 킴스메디컬빌딩 2층",35.5395833,129.3371853,052-266-5225
